date,code,conc,type,stock_cord,stock_usd,flow_cord,flow_usd
2011-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,87933585.72,3898050.4,34191742.89,1515702.296
2011-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,125962864.71,5515619,38029278.989999995,1665213.107
2012-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,31050336.06,1343116.2,31050336.06,1343116.205
2012-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,67675981.12,2892101,36625645.06,1565179.616
2012-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,118327821.08,4995378.2,50651839.95999999,2138339.882
2012-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,162602587.57,6780827.6,44274766.489999995,1846339.368
2013-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,32265783,1329296.7,32265783,1329296.661
2013-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,72294400.47,2942595.9,40028617.47,1629283.098
2013-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,125205708.97,5034289.1,52911308.5,2127465.489
2013-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,174076758.66,6913753.9,48871049.69,1940996.689
2014-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,32491750.95,1274862.8,32491750.95,1274862.795
2014-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,67837002.85,2629682.1,35345251.89999999,1370148.648
2014-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,118938168.4,4554555.9,51101165.55000001,1956841.267
2014-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,171404661.09,6483454.9,52466492.69,1984567.606
2015-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,37141031.7,1387890.2,37141031.7,1387890.246
2015-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,87613908.73,3234597.9,50472877.03,1863396.652
2015-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,147658984.17,5385119.6,60045075.43999998,2189842.454
2015-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,202559662.29,7297052.1,54900678.120000005,1977753.635
2016-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,38977213.67,1387078.1,38977213.67,1387078.117
2016-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,92686659.78,3258659,53709446.11,1888305.912
2016-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,159466344.02,5538515.4,66779684.24000001,2319362.82
2016-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,220277178.53,7557315.7,60810834.50999999,2086310.869
2017-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,44552325.81,1510055.6,44552325.81,1510055.637
2017-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,105810559.99,3543217,61258234.17999999,2051319.049
2017-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,182716124.09,6044128,76905564.10000001,2543984.962
2017-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,252352688.73,8245631,69636564.63999999,2275376.659
2018-03-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,0,0,0,0
2018-06-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,104561261.4,3334649.9,104561261.4,3334649.936
2018-09-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,166161563.12,5234775.7,61600301.72,1940664.009
2018-12-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,214586713.83,6677738.2,48425150.71000001,1506945.476
2019-03-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,21270134.72,653904.3,21270134.72,653904.287
2019-06-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,21918673.43,665739.6,648538.7100000009,19698.177
2019-09-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,76340177.86,2290505.6,54421504.43,1632859.215
2019-12-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,103550947.08,3072296.5,27210769.22,807327.717
2020-03-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,11213260.82,330150.6,11213260.82,330150.56
2020-06-01,difcam,Utilidad por diferencia de cambios y mantenimiento de valor,ejecutado,25065715.84,732602.6,13852455.02,404869.523
2018-03-01,emgas,Certificado de emisión de gases,ejecutado,3852000,124342,3852000,124342.5
2018-06-01,emgas,Certificado de emisión de gases,ejecutado,7844000,250160,3992000,127312.2
2018-09-01,emgas,Certificado de emisión de gases,ejecutado,10213600,321771,2369600,74652.2
2018-12-01,emgas,Certificado de emisión de gases,ejecutado,13723200,427053,3509600,109215.5
2019-03-01,emgas,Certificado de emisión de gases,ejecutado,6233120,191624,6233120,191623.8
2019-06-01,emgas,Certificado de emisión de gases,ejecutado,10075120,306013,3842000,116693.7
2019-09-01,emgas,Certificado de emisión de gases,ejecutado,13051120,391585,2976000,89291.7
2019-12-01,emgas,Certificado de emisión de gases,ejecutado,16545120,490884,3494000,103665
2020-03-01,emgas,Certificado de emisión de gases,ejecutado,6204000,182664,6204000,182663.6
