date,concept,type,stock_cord,stock_usd,flow_cord,flow_usd
2014-03-01,Gastos de la propiedad,ejecutado,808990651.81,31741967,808990651.81,31741966.8977
2014-06-01,Gastos de la propiedad,ejecutado,1169792988.29,45346693,360802336.48,13986400.0681
2014-09-01,Gastos de la propiedad,ejecutado,1945728006.58,74508689,775935018.29,29713249.1609
2014-12-01,Gastos de la propiedad,ejecutado,2333627682.31,88270469,387899675.73,14672471.7328
2015-03-01,Gastos de la propiedad,ejecutado,869448008.38,32489631,869448008.38,32489630.8696
2015-06-01,Gastos de la propiedad,ejecutado,1304637261.98,48165606,435189253.6,16066652.9395
2015-09-01,Gastos de la propiedad,ejecutado,2191228866.08,79914064,886591604.0999999,32333974.4295
2015-12-01,Gastos de la propiedad,ejecutado,2711800866.07,97690488,520571999.99000025,18753195.7779
2016-03-01,Gastos de la propiedad,ejecutado,928479023.4,33041688,928479023.4,33041688.0678
2016-06-01,Gastos de la propiedad,ejecutado,1536619519.77,54024160,608140496.37,21380881.3472
2016-09-01,Gastos de la propiedad,ejecutado,2592937009,90056755,1056317489.23,36687557.5795
2016-12-01,Gastos de la propiedad,ejecutado,3206895456.11,110022842,613958447.1100001,21063815.2221
2017-03-01,Gastos de la propiedad,ejecutado,947973424.12,32130592,947973424.12,32130592.2132
2017-06-01,Gastos de la propiedad,ejecutado,1685113506.05,56428421,737140081.93,24684183.471
2017-09-01,Gastos de la propiedad,ejecutado,2652441905.95,87741016,967328399.8999999,31998580.7494
2017-12-01,Gastos de la propiedad,ejecutado,3689263718.85,120546793,1036821812.9000001,33878181.1712
2018-03-01,Gastos de la propiedad,ejecutado,1037451764.64,33488921,1037451764.64,33488921.2126
2018-06-01,Gastos de la propiedad,ejecutado,1969795835.28,62820393,932344070.64,29734158.2692
2018-09-01,Gastos de la propiedad,ejecutado,3020625498.97,95162183,1050829663.6899998,33105475.9555
2018-12-01,Gastos de la propiedad,ejecutado,3989591503.12,124152363,968966004.1500001,30153317.3421
2019-03-01,Gastos de la propiedad,ejecutado,1031949524.61,31725056,1031949524.61,31725056.1552
2019-06-01,Gastos de la propiedad,ejecutado,2158068522.33,65547384,1126118997.7199998,34203804.641
2019-09-01,Gastos de la propiedad,ejecutado,3211475485.56,96356898,1053406963.23,31606352.7646
2019-12-01,Gastos de la propiedad,ejecutado,4415524762.32,131006055,1204049276.7599998,35723442.6568
2020-03-01,Gastos de la propiedad,ejecutado,1248198996.17,36750558,1248198996.17,36750558.4524
